Sample,Treat,Gm,Wet,Dry,MC,M1,M2,M3,M4,M5,M6,M7,M8,M9,M10,M11,M12,M13,M14,M15,M16,M17,M18,M19,M20,M21
C30C-T2-3,C30C,N,14.7,11.6,0.267241379,,,,,,,,,,,,+,,,,,,,,,
C30C-T3-1,C30C,N,19.7,15.8,0.246835443,,,+,,,,,,,,,,,,+,,,,,,
C30C-T3-2,C30C,N,21.9,15.7,0.394904459,,,,,,,,,,,,,,,+,,,,,,
C30C-T3-3,C30C,N,23.4,15.3,0.529411765,,,+,,,,,,,,,,,,,,,,,,+
C30C-T4-1,C30C,Y,13.6,11.6,0.172413793,,,,+,,,,,,,,,,,,,,,,,
C30C-T4-2,C30C,N,13.8,11.7,0.179487179,,,+,,,,,,,,,,,,,,,,,+,
C30C-T4-3,C30C,N,13.8,10.8,0.277777778,,,+,,,,,,,,,,,,,,,,,,
C30C-T5-1,C30C,N,14.1,11.3,0.247787611,,,,,,,,,,,,,,,+,,,,,,
C30C-T5-2,C30C,N,12.1,9.7,0.24742268,,,+,,,,,,,,,,,,,,,+,,,
C30C-T5-3,C30C,N,13.8,10.3,0.339805825,+,,,,,,,,,,,,,,,,,+,,,
C30C-T6-1,C30C,N,12.7,10.3,0.233009709,+,,,,,,,,,,,,,,,,,,+,,
C30C-T6-2,C30C,N,13.6,10.7,0.271028037,+,,+,,,+,,,,,,,,,,,,+,,,
C30C-T6-3,C30C,N,15.2,10.6,0.433962264,,,,,,,,,,,,,,,,,,,,,
